client_id,created_at,enable_ai_esp_matching,follow_up_percentage,id,max_leads_per_day,min_time_btwn_emails,name,parent_campaign_id,schedule_start_time,scheduler_cron_value.days,scheduler_cron_value.endHour,scheduler_cron_value.startHour,scheduler_cron_value.tz,send_as_plain_text,status,stop_lead_settings,track_settings,unsubscribe_text,updated_at,user_id
1061,2025-04-25T12:56:11.884Z,False,100,1832013,100,20,OOO,1832010,,"[1, 2, 3, 4, 5]",17:19,08:15,Etc/GMT+4,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T04:00:20.863Z,2368
4079,2025-04-24T10:39:29.807Z,False,50,1827205,100,5,OOO,1827200,,"[1, 2, 3, 4, 5]",18:58,08:34,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T04:00:20.863Z,2368
4079,2025-04-24T10:39:29.774Z,False,50,1827203,100,20,warm FUs,1827200,,"[1, 2, 3, 4, 5]",21:33,08:07,Etc/GMT-4,False,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-13T20:00:20.936Z,2368
3864,2025-04-22T12:02:30.337Z,False,100,1818674,270,7,Warm FU Sequence #2 - 04/22 - shortened,1818669,,"[1, 2, 3, 4, 5]",13:51,06:41,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T04:00:20.863Z,2368
3864,2025-04-22T12:02:30.309Z,False,100,1818672,200,7,Out of Office,1818669,,"[1, 2, 3, 4, 5]",13:30,09:48,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T04:00:20.863Z,2368
20402,2025-04-22T06:15:38.475Z,False,100,1817579,100,20,Warm FUs,1817576,,"[1, 2, 3, 4, 5]",14:46,12:08,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T06:01:15.234Z,2368
1885,2025-04-21T15:04:20.127Z,False,100,1815336,100,20,OOO,1815335,,"[1, 2, 3, 4, 5]",17:08,07:40,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T04:00:20.863Z,2368
18459,2025-04-15T05:04:37.968Z,False,30,1791145,1400,10,04/15 | AMZ|Sequence #16: Tweaks for Seq 14| NO TRACK|Bipul leas|mix| superwave,,,"[1, 2, 3, 4, 5]",20:00,07:08,America/New_York,True,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T04:00:20.863Z,2368
4269,2025-04-11T15:41:32.273Z,False,50,1781313,200,10,04/11 | V8 | Sequence 23: cannabis only + heavy spintax copy | Cannabis | SPLIT TEXT 3X | November-619domain ,,,"[1, 2, 3, 4, 5, 0, 6]",19:10,08:20,America/New_York,True,ACTIVE,REPLY_TO_AN_EMAIL,"[""DONT_EMAIL_OPEN"", ""DONT_LINK_CLICK""]",,2025-09-14T04:00:20.863Z,2368
31024,2025-04-11T05:52:27.613Z,False,40,1779315,100,20,OOO,1779314,,"[1, 2, 3, 4, 5]",16:47,06:56,America/New_York,False,ACTIVE,REPLY_TO_AN_EMAIL,[],,2025-09-14T04:00:20.863Z,2368
